CustomerID,Region,State,Gender,Age,Address,City,Zip,customer_type,purchase_category,payment_type,Income
101-17-6199,West,California,Male,60,1648 Sierra Rd.,Beaumont,91754,Normal,Food and beverages,Credit card,52803
101-81-4070,East,New York,Female,31,2337 E. Green Lake Court,Prarie View,92041,Member,Health and beauty,Ewallet,50967
102-06-2002,West,California,Male,38,2169 Brook St.,Glory View,92112,Member,Sports and travel,Cash,91421
102-77-2261,Midwest,Wisconsin,Male,38,312 Catherine St.,Hillsburg,99120,Member,Health and beauty,Credit card,112653
105-10-6182,West,California,Male,52,903 S. Shadow Brook Drive,Hampshire,97005,Member,Fashion accessories,Ewallet,81532
105-31-1824,East,New York,Male,67,1562 West Lilac Lane,Greenview,93974,Member,Sports and travel,Credit card,55410
106-35-6779,South,Mississippi,Male,46,244 Catherine St.,Hillsburg,93989,Member,Home and lifestyle,Cash,112964
109-28-2512,South,Mississippi,Female,70,1561 E. Green Lake Court,Prarie View,90584,Member,Fashion accessories,Ewallet,122695
109-86-4363,Midwest,North Dakota,Female,27,444 Pierce Lane,Fallbrook,98074,Member,Sports and travel,Credit card,48297
110-05-6330,West,Arizona,Female,44,236 Indian Summer St,Griner,91497,Normal,Food and beverages,Credit card,87939
110-48-7033,East,New Jersey,Male,65,1061 16th Dr.,Weatherton,91938,Member,Fashion accessories,Cash,51780
114-35-5271,Midwest,Iowa,Female,32,248 Hilldale Street,Wasburg,93530,Normal,Electronic accessories,Cash,103587
115-38-7388,Midwest,North Dakota,Female,55,726 Morris St.,Hamburg,91514,Member,Fashion accessories,Credit card,117057
115-99-4379,East,Rhode Island,Female,33,2289 Mill Pond Rd.,Heathen,96767,Member,Fashion accessories,Credit card,37356
118-62-1812,Midwest,North Dakota,Female,35,812 S. Harrison Dr,Cerritos,91952,Member,Home and lifestyle,Cash,62382
120-06-4233,West,Colorado,Male,37,2237 S. Elizabeth Dr.,Sunderlun,99264,Normal,Electronic accessories,Cash,58253
120-54-2248,East,Maine,Female,60,230 42nd Dr.,Weatherton,91915,Normal,Food and beverages,Credit card,117847
122-61-9553,East,New Jersey,Female,70,830 Main Street,Plainview,93849,Normal,Electronic accessories,Cash,29643
123-19-1176,East,Maine,Male,51,2313 S. Shadow Brook Drive,Hampshire,91603,Member,Health and beauty,Ewallet,78969
123-35-4896,Midwest,Iowa,Female,70,1024 Laurel Lane,Sunview,97069,Normal,Sports and travel,Ewallet,35887
124-31-1458,Midwest,South Dakota,Female,47,2303 Pierce Lane,Fallbrook,95779,Member,Electronic accessories,Cash,61117
125-45-2293,South,Florida,Female,41,2254 West Lilac Lane,Greenview,96344,Normal,Fashion accessories,Cash,40726
126-54-1082,South,Maryland,Female,42,1652 Mill Pond Rd.,Heathen,92520,Member,Home and lifestyle,Credit card,103593
127-47-6963,West,California,Male,64,132 S. Harrison Dr,Cerritos,94134,Normal,Health and beauty,Credit card,94844
129-29-8530,South,Florida,Male,56,1721 Catherine St.,Hillsburg,98425,Member,Sports and travel,Ewallet,76021
130-67-4723,South,Florida,Male,32,396 S. Elizabeth Dr.,Sunderlun,98907,Member,Food and beverages,Ewallet,111311
130-98-8941,Midwest,Iowa,Male,56,465 Indian Summer St,Griner,98315,Normal,Fashion accessories,Cash,68665
131-15-8856,East,Vermont,Female,40,2387 S. Shadow Brook Drive,Hampshire,91484,Member,Food and beverages,Credit card,29465
131-70-8179,West,Colorado,Female,66,1946 Brook St.,Glory View,97615,Member,Health and beauty,Cash,101288
132-23-6451,Midwest,Kansas,Male,42,2107 Mill Pond Rd.,Heathen,91569,Member,Health and beauty,Cash,44466
132-32-9879,East,New York,Female,48,1406 S. Harrison Dr,Cerritos,91939,Member,Electronic accessories,Cash,100567
133-14-7229,South,Georgia,Male,49,715 S. Shadow Brook Drive,Hampshire,90619,Normal,Health and beauty,Cash,90136
133-77-3154,Midwest,South Dakota,Male,24,904 Brookside Court,Berkshire,96660,Member,Fashion accessories,Credit card,33020
134-54-4720,East,New Jersey,Female,53,2060 Sierra Rd.,Beaumont,90354,Normal,Electronic accessories,Ewallet,45761
134-75-2619,East,Vermont,Male,55,1999 Brookside Court,Berkshire,92188,Member,Electronic accessories,Cash,98908
135-13-8269,East,Rhode Island,Female,65,1174 S. Harrison Dr,Cerritos,98265,Member,Food and beverages,Cash,117108
135-84-8019,Midwest,South Dakota,Female,40,2253 S. Harrison Dr,Cerritos,99637,Normal,Fashion accessories,Ewallet,101649
136-08-6195,West,Arizona,Female,31,1757 Indian Summer St,Griner,95536,Normal,Home and lifestyle,Credit card,77241
137-63-5492,West,Nevada,Male,44,1828 Laurel Lane,Sunview,91338,Normal,Electronic accessories,Ewallet,103496
137-74-8729,West,Nevada,Female,62,708 Middle River Rd.,Orange,99948,Normal,Fashion accessories,Ewallet,25712
138-17-5109,Midwest,Iowa,Female,69,1567 Sierra Rd.,Beaumont,97468,Member,Home and lifestyle,Credit card,91963
139-20-0155,South,Georgia,Male,48,658 Gates Drive,Summerville,99695,Member,Electronic accessories,Credit card,119665
139-32-4183,East,Maine,Female,70,2132 Sierra Rd.,Beaumont,94971,Member,Sports and travel,Ewallet,87600
139-52-2867,West,Utah,Female,48,1750 Laurel Lane,Sunview,95006,Normal,Fashion accessories,Credit card,72376
142-63-6033,East,New York,Male,47,457 Mill Pond Rd.,Heathen,90253,Normal,Home and lifestyle,Ewallet,48462
142-72-4741,East,New York,Male,27,907 Sierra Rd.,Beaumont,98719,Member,Fashion accessories,Credit card,45752
144-51-6085,West,Colorado,Male,35,1528 Middle River Rd.,Orange,96704,Member,Home and lifestyle,Credit card,57068
145-94-9061,East,Vermont,Female,28,381 Middle River Rd.,Orange,91934,Normal,Food and beverages,Cash,41140
146-09-5432,Midwest,Wisconsin,Male,69,222 S. Elizabeth Dr.,Sunderlun,92110,Member,Food and beverages,Ewallet,86771
148-41-7930,South,Maryland,Male,24,1365 S. Shadow Brook Drive,Hampshire,98129,Normal,Health and beauty,Cash,57719
148-82-2527,West,Colorado,Female,69,576 Princeton Rd.,Stamview,96495,Member,Home and lifestyle,Credit card,71264
149-14-0304,South,Kentucky,Female,25,1636 S. Harrison Dr,Cerritos,92418,Member,Health and beauty,Cash,71753
149-15-7606,West,California,Male,49,349 Princeton Rd.,Stamview,97776,Member,Sports and travel,Ewallet,36444
149-61-1929,Midwest,Iowa,Male,64,1966 Gates Drive,Summerville,95746,Normal,Sports and travel,Credit card,104385
149-71-6266,South,Mississippi,Male,48,1482 Hilldale Street,Wasburg,93909,Member,Sports and travel,Cash,92881
150-89-8043,West,Nevada,Male,45,1308 Pierce Lane,Fallbrook,97500,Normal,Sports and travel,Cash,88973
151-16-1484,South,Georgia,Male,31,178 Brook St.,Glory View,97465,Member,Electronic accessories,Ewallet,87762
151-27-8496,South,Georgia,Female,58,142 Hilldale Street,Wasburg,93552,Normal,Electronic accessories,Ewallet,36972
151-33-7434,South,Florida,Female,56,213 S. Elizabeth Dr.,Sunderlun,99884,Normal,Food and beverages,Credit card,72250
152-03-4217,West,California,Female,48,1103 Sierra Rd.,Beaumont,91031,Normal,Home and lifestyle,Credit card,80466
152-08-9985,East,Maine,Male,24,2212 Princeton Rd.,Stamview,94025,Member,Health and beauty,Credit card,41112
152-68-2907,East,Maine,Male,44,1725 Catherine St.,Hillsburg,99432,Normal,Food and beverages,Credit card,34308
153-58-4872,South,Maryland,Female,64,2238 S. Shadow Brook Drive,Hampshire,91142,Member,Food and beverages,Ewallet,75186
154-74-7179,East,Vermont,Male,25,1324 Pierce Lane,Fallbrook,93261,Normal,Sports and travel,Ewallet,62732
154-87-7367,East,New York,Male,23,2002 47th Dr.,Weatherton,99248,Normal,Home and lifestyle,Ewallet,59518
155-45-3814,Midwest,South Dakota,Female,32,159 Morris St.,Hamburg,90611,Member,Electronic accessories,Ewallet,117897
156-20-0370,South,Georgia,Female,25,383 Brook St.,Glory View,96859,Normal,Electronic accessories,Credit card,124496
156-95-3964,West,Colorado,Female,68,381 S. Elizabeth Dr.,Sunderlun,94203,Normal,Food and beverages,Ewallet,51981
157-13-5295,West,Colorado,Male,30,878 Brookside Court,Berkshire,97627,Member,Health and beauty,Ewallet,26029
160-22-2687,Midwest,Wisconsin,Female,65,2049 Brookside Court,Berkshire,91710,Member,Health and beauty,Ewallet,109926
162-48-8011,Midwest,Iowa,Female,61,1060 Hilldale Street,Wasburg,91801,Member,Food and beverages,Cash,87995
162-65-8559,South,Kentucky,Male,65,1771 E. Green Lake Court,Prarie View,92537,Member,Food and beverages,Cash,92468
163-56-7055,South,Kentucky,Male,52,1810 Indian Summer St,Griner,99362,Member,Fashion accessories,Cash,27934
166-19-2553,East,New York,Male,35,1439 Princeton Rd.,Stamview,97632,Member,Sports and travel,Cash,50287
169-52-4504,East,Maine,Female,52,1938 36th Dr.,Weatherton,90248,Normal,Electronic accessories,Credit card,115195
172-42-8274,East,New York,Female,64,135 S. Harrison Dr,Cerritos,91890,Normal,Electronic accessories,Credit card,64602
173-50-1108,South,Mississippi,Female,51,1712 Sierra Rd.,Beaumont,94861,Member,Sports and travel,Credit card,118353
173-57-2300,East,New Jersey,Male,56,2329 Middle River Rd.,Orange,96385,Member,Sports and travel,Cash,73432
173-82-9529,West,California,Female,52,735 Hilldale Street,Wasburg,90121,Normal,Fashion accessories,Cash,80899
174-36-3675,Midwest,North Dakota,Male,26,2182 19th Dr.,Weatherton,95168,Member,Food and beverages,Cash,113712
174-64-0215,West,Nevada,Male,22,1159 E. Green Lake Court,Prarie View,96254,Normal,Sports and travel,Credit card,75991
174-75-0888,Midwest,North Dakota,Male,43,633 Indian Summer St,Griner,96534,Normal,Electronic accessories,Cash,100181
175-54-2529,Midwest,Iowa,Male,67,2366 Catherine St.,Hillsburg,96044,Member,Food and beverages,Credit card,33447
